station_number,latitude,longitude,station_name
1023,51.529163,-0.10997,"River Street , Clerkenwell"
1018,51.499606,-0.197574,"Phillimore Gardens, Kensington"
1012,51.521283,-0.084605,"Christopher Street, Liverpool Street"
1013,51.530059,-0.120973,"St. Chad's Street, King's Cross"
3420,51.49313,-0.156876,"Sedding Street, Sloane Square"
3424,51.518117,-0.144228,"Broadcasting House, Marylebone"
3422,51.5343,-0.168074,"Charlbert Street, St. John's Wood"
3423,51.529857,-0.183486,"Maida Vale, Maida Vale"
1015,51.507385,-0.09644,"New Globe Walk, Bankside"
1024,51.505974,-0.092754,"Park Street, Bankside"
1022,51.523951,-0.122502,"Brunswick Square, Bloomsbury"
980,51.52168,-0.130431,"Malet Street, Bloomsbury"
970,51.519914,-0.136039,"Scala Street, Fitzrovia"
1011,51.529416,-0.123944,"Argyle Street, Kings Cross"
988,51.517727,-0.127854,"Great Russell Street, Bloomsbury"
1010,51.526357,-0.125979,"Cartwright Gardens , Bloomsbury"
1008,51.521661,-0.109006,"Hatton Wall, Holborn"
1007,51.51477,-0.122219,"Drury Lane, Covent Garden"
1009,51.52505,-0.131161,"Taviton Street, Bloomsbury"
993,51.527326,-0.136052,"Drummond Street , Euston"
3426,51.539834,-0.062806,"Lansdowne Drive, Hackney Central"
3425,51.522264,-0.114079,"Northington Street , Holborn"
3421,51.519435,-0.119123,"Red Lion Square, Holborn"
981,51.51908,-0.124678,"British Museum, Bloomsbury"
1004,51.528833,-0.13225,"Doric Way , Somers Town"
1019,51.52728,-0.118295,"Ampton Street , Clerkenwell"
1025,51.523518,-0.143613,"Bolsover Street, Fitzrovia"
1016,51.513735,-0.193487,"Hereford Road, Bayswater"
1029,51.529154,-0.093421,"Windsor Terrace, Hoxton"
3427,51.529537,-0.083353,"Fanshaw Street, Hoxton"
3430,51.515231,-0.07015,"Central House, Aldgate"
3428,51.534123,-0.129386,"Pancras Road, King's Cross"
3446,51.501737,-0.18498,"De Vere Gardens, Kensington"
3444,51.491593,-0.192369,"Penywern Road, Earl's Court"
3442,51.497387,-0.197245,"Abingdon Villas, Kensington"
3445,51.526377,-0.07813,"Shoreditch High Street, Shoreditch"
1083,51.52127,-0.075578,"Commercial Street, Shoreditch"
1084,51.520955,-0.083493,"Pindar Street, Liverpool Street"
979,51.530991,-0.093903,"Wenlock Road , Hoxton"
1036,51.52026,-0.157183,"Crawford Street, Marylebone"
1034,51.510736,-0.144165,"Bruton Street, Mayfair"
1035,51.522511,-0.162298,"Boston Place, Marylebone"
1031,51.507131,-0.06691,"Nesham Street, Wapping"
1027,51.523344,-0.183846,"Warwick Avenue Station, Maida Vale"
971,51.512484,-0.099141,"Godliman Street, St. Paul's"
3437,51.507069,-0.145904,"Curzon Street, Mayfair"
1054,51.528673,-0.087459,"East Road, Hoxton"
986,51.526717,-0.104298,"Finsbury Library , Finsbury"
1026,51.522954,-0.094934,"Roscoe Street, St. Luke's"
3431,51.509992,-0.143495,"Grafton Street, Mayfair"
967,51.521747,-0.094475,"Golden Lane, Barbican"
984,51.517075,-0.086685,"Finsbury Circus, Liverpool Street"
1033,51.520583,-0.154701,"Paddington Street, Marylebone"
974,51.523346,-0.120202,"Guilford Street , Bloomsbury"
1032,51.524526,-0.079248,"New Inn Yard, Shoreditch"
1030,51.526448,-0.17219,"Lisson Grove, St. John's Wood"
1017,51.497382,-0.089446,"Great Dover Street, The Borough"
990,51.490757,-0.106323,"Cotton Garden Estate, Kennington"
989,51.53089,-0.089782,"Murray Grove , Hoxton"
1028,51.509462,-0.124749,"William IV Street, Strand"
969,51.525227,-0.135188,"Gower Place , Euston"
982,51.51795,-0.108657,"Holborn Circus, Holborn"
985,51.518825,-0.108028,"Hatton Garden, Holborn"
975,51.520596,-0.116688,"Theobald's Road , Holborn"
983,51.526236,-0.134407,"Euston Road, Euston"
1066,51.53136,-0.117069,"Calshot Street , King's Cross"
1074,51.515768,-0.099894,"Newgate Street , St. Paul's"
3432,51.52352,-0.10834,"Farringdon Lane, Clerkenwell"
1064,51.525615,-0.088532,"Old Street Station, St. Luke's"
1000,51.485917,-0.124469,"Vauxhall Cross, Vauxhall"
1060,51.532199,-0.10548,"Torrens Street, Angel"
976,51.525595,-0.144083,"Longford Street, The Regent's Park"
978,51.523418,-0.124121,"Russell Square Station, Bloomsbury"
3433,51.524868,-0.099489,"Sadlers Sports Centre, Finsbury"
3455,51.511726,-0.113855,"Arundel Street, Temple"
3448,51.500693,-0.102091,"Webber Street , Southwark"
3450,51.520253,-0.141327,"Great Titchfield Street, Fitzrovia"
3452,51.509639,-0.13151,"Panton Street, West End"
3449,51.515937,-0.111778,"Breams Buildings, Holborn"
994,51.500647,-0.0786,"Tanner Street, Bermondsey"
3434,51.489479,-0.115156,"Sancroft Street, Vauxhall"
3438,51.516468,-0.079684,"Devonshire Square, Liverpool Street"
1006,51.51863,-0.132676,"Percy Street, Bloomsbury"
3439,51.52625,-0.123509,"Tavistock Place, Bloomsbury"
1038,51.533019,-0.139174,"Harrington Square 1, Camden Town"
1076,51.493686,-0.111014,"Walnut Tree Walk, Vauxhall"
1082,51.498898,-0.10044,"Borough Road, Elephant & Castle"
2586,51.534408,-0.109025,"Cloudesley Road, Angel"
1070,51.495061,-0.085814,"Bricklayers Arms, Borough"
1065,51.520841,-0.09734,"Aldersgate Street, Barbican"
1047,51.53095,-0.078505,"Falkirk Street, Hoxton"
3447,51.497924,-0.183834,"Gloucester Road (North), Kensington"
972,51.525542,-0.138231,"Hampstead Road, Euston"
999,51.511553,-0.09294,"Queen Street 1, Bank"
1045,51.513406,-0.076793,"Jewry Street, Aldgate"
3441,51.504723,-0.192538,"Vicarage Gate, Kensington"
991,51.511594,-0.077121,"Crosswall, Tower"
1041,51.515529,-0.19024,"Westbourne Grove, Bayswater"
1042,51.514105,-0.147301,"Woodstock Street, Mayfair"
1049,51.526008,-0.096317,"Finsbury Leisure Centre, St. Luke's"
1052,51.515631,-0.132328,"Soho Square , Soho"
1055,51.533043,-0.172528,"Wellington Road, St. John's Wood"
1037,51.510017,-0.157275,"Park Lane , Hyde Park"
1061,51.515809,-0.10527,"Stonecutter Street, Holborn"
3435,51.496462,-0.183289,"Gloucester Road (Central), South Kensington"
